input_text,target_text,conversation_id,windex,split
"ER: Hey, how are you doing, have you ever heard of a charity called Save the Children?",other,229,0,train
"ER: Hey, how are you doing, have you ever heard of a charity called Save the Children?
EE: No I havent.",hpos-,229,1,train
"ER: Hey, how are you doing, have you ever heard of a charity called Save the Children?
EE: No I havent.
EE: What is it about?",hneg-,229,2,train
"EE: No I havent.
EE: What is it about?
ER: It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?",hneg-,229,3,train
"EE: What is it about?
ER: It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?
EE: No thank you.",hpos+,229,4,train
"ER: It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?
EE: No thank you.
ER: May I ask why?",hneg+,229,5,train
"EE: No thank you.
ER: May I ask why?
ER: Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested?",hpos+,229,6,train
"ER: May I ask why?
ER: Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested?
EE: I am already making a difference in many children lives.",spos+,229,7,train
"ER: Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested?
EE: I am already making a difference in many children lives.
ER: That's great, it sounds like it's an issue you really care about then, why not put some of that effort into a charity that's doing really great work like Save the Children?",hneg-,229,8,train
"EE: I am already making a difference in many children lives.
ER: That's great, it sounds like it's an issue you really care about then, why not put some of that effort into a charity that's doing really great work like Save the Children?
EE: I have donated 15 years of my life to charity",spos+,229,9,train
"ER: That's great, it sounds like it's an issue you really care about then, why not put some of that effort into a charity that's doing really great work like Save the Children?
EE: I have donated 15 years of my life to charity
ER: I'm not asking you to donate years of your life, just a couple of cents if possible, is that something you could possibly do tonight?",hneg+,229,10,train
"EE: I have donated 15 years of my life to charity
ER: I'm not asking you to donate years of your life, just a couple of cents if possible, is that something you could possibly do tonight?
EE: No thank you",sneg+,229,11,train
"ER: I'm not asking you to donate years of your life, just a couple of cents if possible, is that something you could possibly do tonight?
EE: No thank you
ER: You're probably on a computer right now, so you probably have quite a bit of money yourself, don't you think you could spare maybe 25 cents for some needy children around the world?",hpos-,229,12,train
"EE: No thank you
ER: You're probably on a computer right now, so you probably have quite a bit of money yourself, don't you think you could spare maybe 25 cents for some needy children around the world?
EE: No thank you",sneg+,229,13,train
"ER: You're probably on a computer right now, so you probably have quite a bit of money yourself, don't you think you could spare maybe 25 cents for some needy children around the world?
EE: No thank you
ER: Do you have children yourself?",other,229,14,train
"EE: No thank you
ER: Do you have children yourself?
ER: What if your children were in a position these kids are in, wouldn't you want someone to help them?",other,229,15,train
"ER: Do you have children yourself?
ER: What if your children were in a position these kids are in, wouldn't you want someone to help them?
EE: Where are those childrens parent?",other,229,16,train
