input_text,target_text,conversation_id,windex,split
ER: Hi!,other,120,0,train
"ER: Hi!
ER: Have you heard of an organization called Save the Children?",other,120,1,train
"ER: Hi!
ER: Have you heard of an organization called Save the Children?
EE: I think I have once before, in a grocery store I believe",hpos+,120,2,train
"ER: Have you heard of an organization called Save the Children?
EE: I think I have once before, in a grocery store I believe
ER: Do you mind if i give you a little information about them?",hneg-,120,3,train
"EE: I think I have once before, in a grocery store I believe
ER: Do you mind if i give you a little information about them?
EE: Sure, go ahead",hpos+,120,4,train
"ER: Do you mind if i give you a little information about them?
EE: Sure, go ahead
ER: Just some ver basic info, Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",spos+,120,5,train
"EE: Sure, go ahead
ER: Just some ver basic info, Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
EE: Are they a non profit organization?",hneg-,120,6,train
"ER: Just some ver basic info, Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
EE: Are they a non profit organization?
ER: Yes they are!",other,120,7,train
"EE: Are they a non profit organization?
ER: Yes they are!
ER: They work 100% on donated funds.",spos+,120,8,train
"ER: Yes they are!
ER: They work 100% on donated funds.
ER: There is a lack of support for children in developing countries, especially in war zones.",other,120,9,train
"ER: They work 100% on donated funds.
ER: There is a lack of support for children in developing countries, especially in war zones.
ER: For instance, millions of Syrian children have grown up facing the daily threat of violence.",other,120,10,train
"ER: There is a lack of support for children in developing countries, especially in war zones.
ER: For instance, millions of Syrian children have grown up facing the daily threat of violence.
ER: In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",other,120,11,train
"ER: For instance, millions of Syrian children have grown up facing the daily threat of violence.
ER: In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.
ER: Your donation can address such problems.",hpos+,120,12,train
"ER: In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.
ER: Your donation can address such problems.
EE: Oh wow, shocking news.",hpos+,120,13,train
"ER: Your donation can address such problems.
EE: Oh wow, shocking news.
EE: Do you know how many children have been helped due to this organization?",hneg-,120,14,train
"EE: Oh wow, shocking news.
EE: Do you know how many children have been helped due to this organization?
ER: According t0 their yearend report they were able to reach 155 million children.",spos+,120,15,train
"EE: Do you know how many children have been helped due to this organization?
ER: According t0 their yearend report they were able to reach 155 million children.
ER: Over 200k of those kids were in the US.",spos+,120,16,train
"ER: According t0 their yearend report they were able to reach 155 million children.
ER: Over 200k of those kids were in the US.
EE: Thats awesome!",hpos+,120,17,train
"ER: Over 200k of those kids were in the US.
EE: Thats awesome!
EE: Are you apart of this organization or just support them?",other,120,18,train
"EE: Thats awesome!
EE: Are you apart of this organization or just support them?
ER: I am just a supporter but I would like to ask how much do you like to donate to the charity?",hneg-,120,19,train
"EE: Are you apart of this organization or just support them?
ER: I am just a supporter but I would like to ask how much do you like to donate to the charity?
ER: Your donation will be directly deducted from your task payment.",other,120,20,train
"ER: I am just a supporter but I would like to ask how much do you like to donate to the charity?
ER: Your donation will be directly deducted from your task payment.
ER: You can choose any amount from $0 to all your payment",other,120,21,train
"ER: Your donation will be directly deducted from your task payment.
ER: You can choose any amount from $0 to all your payment
EE: The payment of the task is 30 cents, I would donate 10c",hpos+,120,22,train
"ER: You can choose any amount from $0 to all your payment
EE: The payment of the task is 30 cents, I would donate 10c
ER: That is awesome!",hpos+,120,23,train
"EE: The payment of the task is 30 cents, I would donate 10c
ER: That is awesome!
ER: Thank you so much! What are you hoping your donation will help with?",hpos+,120,24,train
"ER: That is awesome!
ER: Thank you so much! What are you hoping your donation will help with?
EE: its not a lot but hopefully go towards someone else donation to help children in war zone areas",other,120,25,train
"ER: Thank you so much! What are you hoping your donation will help with?
EE: its not a lot but hopefully go towards someone else donation to help children in war zone areas
ER: I am so grateful for your donation.",hpos+,120,26,train
